ts,ProductID,Type,Airtemperature[°C],Processtemperature[°C],Rotationalspeed[rpm],Torque[Nm],Toolwear[min],FailureType
2023-06-01 11:15:00,L47225,L,26.65000000000004,36.950000000000045,1489,49.1,128,No Failure
2023-06-01 11:30:00,M14906,M,26.55000000000001,36.85000000000002,1843,25.8,130,No Failure
2023-06-01 11:45:00,L47227,L,26.65000000000004,36.950000000000045,1418,46.3,133,No Failure
2023-06-01 12:00:00,H29462,H,26.65000000000004,37.05000000000001,1425,53.9,135,No Failure
2023-06-01 12:15:00,M14909,M,26.75,37.05000000000001,1412,44.1,140,No Failure
2023-06-01 12:30:00,L47230,L,26.75,36.950000000000045,2861,4.6,143,Power Failure
2023-06-01 12:45:00,L47231,L,26.75,36.950000000000045,1383,54.9,145,No Failure
2023-06-01 13:00:00,H29466,H,26.65000000000004,36.85000000000002,1497,43.8,147,No Failure
2023-06-01 13:15:00,L47233,L,26.55000000000001,36.85000000000002,1565,35.1,152,No Failure
2023-06-01 13:30:00,L47234,L,26.55000000000001,36.85000000000002,1691,30.1,154,No Failure
2023-06-01 13:45:00,L47235,L,26.65000000000004,36.950000000000045,1512,40.7,156,No Failure
2023-06-01 14:00:00,L47236,L,26.65000000000004,36.950000000000045,1477,42.4,158,No Failure
2023-06-01 14:15:00,L47237,L,26.65000000000004,36.950000000000045,1513,40.3,160,No Failure
2023-06-01 14:30:00,M14918,M,26.65000000000004,36.85000000000002,1661,29.5,162,No Failure
2023-06-01 14:45:00,L47239,L,26.65000000000004,36.950000000000045,1378,54.4,165,No Failure
2023-06-01 15:00:00,L47240,L,26.65000000000004,36.950000000000045,1393,52.6,167,No Failure
2023-06-01 15:15:00,M14921,M,26.65000000000004,36.85000000000002,1592,38.2,169,No Failure
2023-06-01 15:30:00,L47242,L,26.65000000000004,36.85000000000002,1829,22.9,172,No Failure
2023-06-01 15:45:00,M14923,M,26.75,36.85000000000002,1812,25.9,174,No Failure
2023-06-01 16:00:00,L47244,L,26.850000000000023,36.950000000000045,1523,38.6,177,No Failure
2023-06-01 16:15:00,L47245,L,26.850000000000023,36.950000000000045,1394,45.1,179,No Failure
2023-06-01 16:30:00,M14926,M,26.75,36.75,1679,28.7,181,No Failure
2023-06-01 16:45:00,H29481,H,26.65000000000004,36.75,1466,44.1,184,No Failure
2023-06-01 17:00:00,L47248,L,26.65000000000004,36.75,1527,32.4,189,No Failure
2023-06-01 17:15:00,L47249,L,26.75,36.85000000000002,1410,65.7,191,Power Failure
2023-06-01 17:30:00,M14930,M,26.75,36.85000000000002,1924,22.6,193,No Failure
2023-06-01 17:45:00,L47251,L,26.75,36.950000000000045,1452,45.5,196,No Failure
2023-06-01 18:00:00,L47252,L,26.75,36.950000000000045,1369,44.4,198,No Failure
2023-06-01 18:15:00,L47253,L,26.850000000000023,36.950000000000045,1592,35.0,200,No Failure
2023-06-01 18:30:00,L47254,L,26.75,36.85000000000002,1601,32.3,202,No Failure
2023-06-01 18:45:00,L47255,L,26.65000000000004,36.75,1379,46.7,204,No Failure
2023-06-01 19:00:00,L47256,L,26.65000000000004,36.75,1461,47.9,206,No Failure
2023-06-01 19:15:00,L47257,L,26.65000000000004,36.75,1455,41.3,208,Tool Wear Failure
2023-06-01 19:30:00,L47258,L,26.65000000000004,36.75,1398,51.5,0,No Failure
2023-06-01 19:45:00,L47259,L,26.65000000000004,36.75,1402,37.9,2,No Failure
2023-06-01 20:00:00,H29494,H,26.65000000000004,36.650000000000034,1445,49.9,4,No Failure
2023-06-01 20:15:00,L47261,L,26.75,36.75,1450,47.5,9,No Failure
2023-06-01 20:30:00,L47262,L,26.75,36.75,1453,40.8,11,No Failure
2023-06-01 20:45:00,L47263,L,26.850000000000023,36.85000000000002,1469,40.1,13,No Failure
2023-06-01 21:00:00,L47264,L,26.75,36.75,1422,47.6,15,No Failure
2023-06-01 21:15:00,M14945,M,26.850000000000023,36.85000000000002,1804,26.8,17,No Failure
2023-06-01 21:30:00,H29500,H,26.850000000000023,36.85000000000002,1436,43.9,20,No Failure
2023-06-01 21:45:00,L47267,L,26.850000000000023,36.85000000000002,1544,31.8,25,No Failure
2023-06-01 22:00:00,M14948,M,26.850000000000023,36.85000000000002,1419,45.2,27,No Failure
2023-06-01 22:15:00,M14949,M,26.75,36.75,1487,39.5,30,No Failure
2023-06-01 22:30:00,L47270,L,26.75,36.75,1753,25.8,33,No Failure
2023-06-01 22:45:00,L47271,L,26.75,36.75,1830,24.9,35,No Failure
2023-06-01 23:00:00,M14952,M,26.75,36.75,1727,27.1,37,No Failure
2023-06-01 23:15:00,L47273,L,26.950000000000045,36.85000000000002,1450,43.0,40,No Failure
2023-06-01 23:30:00,L47274,L,26.850000000000023,36.75,1622,31.9,42,No Failure
2023-06-01 23:45:00,M14955,M,26.850000000000023,36.85000000000002,1351,52.2,44,No Failure
2023-06-02 00:00:00,M14956,M,26.850000000000023,36.85000000000002,1575,35.3,47,No Failure
2023-06-02 00:15:00,M14957,M,26.75,36.75,1750,29.9,50,No Failure
2023-06-02 00:30:00,L47278,L,26.75,36.650000000000034,1529,32.7,53,No Failure
2023-06-02 00:45:00,L47279,L,26.65000000000004,36.650000000000034,1523,44.4,55,No Failure
2023-06-02 01:00:00,L47280,L,26.65000000000004,36.75,1852,25.0,57,No Failure
2023-06-02 01:15:00,L47281,L,26.65000000000004,36.650000000000034,1991,20.7,59,No Failure
2023-06-02 01:30:00,L47282,L,26.65000000000004,36.650000000000034,1555,40.6,61,No Failure
2023-06-02 01:45:00,M14963,M,26.65000000000004,36.650000000000034,1441,40.5,63,No Failure
2023-06-02 02:00:00,L47284,L,26.65000000000004,36.55000000000001,1450,43.4,66,No Failure
2023-06-02 02:15:00,L47285,L,26.65000000000004,36.55000000000001,1591,31.1,68,No Failure
2023-06-02 02:30:00,L47286,L,26.65000000000004,36.55000000000001,1445,48.5,70,No Failure
2023-06-02 02:45:00,M14967,M,26.65000000000004,36.650000000000034,1497,46.8,72,No Failure
2023-06-02 03:00:00,H29522,H,26.75,36.650000000000034,1621,32.7,75,No Failure
2023-06-02 03:15:00,L47289,L,26.75,36.55000000000001,1572,34.1,80,No Failure
2023-06-02 03:30:00,L47290,L,26.65000000000004,36.450000000000045,1872,22.5,82,No Failure
2023-06-02 03:45:00,H29525,H,26.55000000000001,36.450000000000045,1499,43.5,84,No Failure
2023-06-02 04:00:00,M14972,M,26.65000000000004,36.55000000000001,1498,39.5,89,No Failure
2023-06-02 04:15:00,M14973,M,26.65000000000004,36.450000000000045,1486,41.9,92,No Failure
2023-06-02 04:30:00,L47294,L,26.65000000000004,36.450000000000045,1680,29.4,95,No Failure
2023-06-02 04:45:00,L47295,L,26.65000000000004,36.450000000000045,1431,45.7,97,No Failure
2023-06-02 05:00:00,L47296,L,26.75,36.55000000000001,1564,34.1,99,No Failure
2023-06-02 05:15:00,L47297,L,26.65000000000004,36.450000000000045,1599,33.0,101,No Failure
2023-06-02 05:30:00,M14978,M,26.65000000000004,36.450000000000045,1707,28.1,103,No Failure
2023-06-02 05:45:00,L47299,L,26.55000000000001,36.35000000000002,1467,40.7,106,No Failure
2023-06-02 06:00:00,L47300,L,26.75,36.55000000000001,1433,44.7,108,No Failure
2023-06-02 06:15:00,L47301,L,26.75,36.55000000000001,1558,41.2,110,No Failure
2023-06-02 06:30:00,L47302,L,26.850000000000023,36.650000000000034,1310,50.7,112,No Failure
2023-06-02 06:45:00,L47303,L,26.75,36.55000000000001,1546,43.4,114,No Failure
2023-06-02 07:00:00,L47304,L,26.75,36.55000000000001,1727,29.4,116,No Failure
2023-06-02 07:15:00,L47305,L,26.75,36.450000000000045,1560,32.2,118,No Failure
2023-06-02 07:30:00,L47306,L,26.850000000000023,36.450000000000045,1329,60.5,120,No Failure
2023-06-02 07:45:00,L47307,L,26.75,36.450000000000045,1413,46.5,122,No Failure
2023-06-02 08:00:00,L47308,L,26.850000000000023,36.450000000000045,1587,38.6,124,No Failure
2023-06-02 08:15:00,L47309,L,26.75,36.35000000000002,1559,34.3,126,No Failure
2023-06-02 08:30:00,L47310,L,26.65000000000004,36.25,1473,41.1,128,No Failure
2023-06-02 08:45:00,L47311,L,26.65000000000004,36.25,1737,27.7,130,No Failure
2023-06-02 09:00:00,M14992,M,26.55000000000001,36.25,1441,43.2,132,No Failure
2023-06-02 09:15:00,M14993,M,26.55000000000001,36.25,1430,49.6,135,No Failure
2023-06-02 09:30:00,L47314,L,26.65000000000004,36.25,1369,53.0,138,No Failure
2023-06-02 09:45:00,M14995,M,26.65000000000004,36.35000000000002,1711,28.5,140,No Failure
2023-06-02 10:00:00,H29550,H,26.55000000000001,36.35000000000002,1420,45.7,143,No Failure
2023-06-02 10:15:00,L47317,L,26.55000000000001,36.450000000000045,1297,55.3,148,No Failure
2023-06-02 10:30:00,H29552,H,26.65000000000004,36.450000000000045,1449,49.4,150,No Failure
2023-06-02 10:45:00,L47319,L,26.65000000000004,36.450000000000045,1268,55.8,155,No Failure
2023-06-02 11:00:00,L47320,L,26.65000000000004,36.450000000000045,1511,36.1,157,No Failure
2023-06-02 11:15:00,L47321,L,26.55000000000001,36.35000000000002,1544,35.2,159,No Failure
2023-06-02 11:30:00,M15002,M,26.450000000000045,36.25,1778,28.2,161,No Failure
2023-06-02 11:45:00,H29557,H,26.450000000000045,36.25,1407,50.5,164,No Failure
2023-06-02 12:00:00,M15004,M,26.450000000000045,36.25,1391,42.4,169,No Failure
2023-06-02 12:15:00,L47325,L,26.350000000000023,36.25,1513,33.6,172,No Failure
2023-06-02 12:30:00,H29560,H,26.350000000000023,36.25,1612,36.1,174,No Failure
2023-06-02 12:45:00,L47327,L,26.25,36.25,1515,40.1,179,No Failure
2023-06-02 13:00:00,M15008,M,26.15000000000004,36.150000000000034,1379,48.0,181,No Failure
2023-06-02 13:15:00,L47329,L,26.25,36.150000000000034,1473,39.9,184,No Failure
2023-06-02 13:30:00,L47330,L,26.25,36.150000000000034,1422,42.7,186,No Failure
2023-06-02 13:45:00,M15011,M,26.25,36.05000000000001,1463,37.6,188,No Failure
2023-06-02 14:00:00,M15012,M,26.25,36.05000000000001,1584,41.0,191,No Failure
2023-06-02 14:15:00,L47333,L,26.25,36.05000000000001,1850,27.0,194,No Failure
2023-06-02 14:30:00,L47334,L,26.25,36.05000000000001,1528,36.2,196,No Failure
2023-06-02 14:45:00,H29569,H,26.25,36.05000000000001,1987,19.8,198,No Failure
2023-06-02 15:00:00,M15016,M,26.25,35.950000000000045,1495,46.0,203,No Failure
2023-06-02 15:15:00,H29571,H,26.25,36.05000000000001,1478,43.5,206,No Failure
2023-06-02 15:30:00,M15018,M,26.25,36.05000000000001,1499,40.0,211,No Failure
2023-06-02 15:45:00,L47339,L,26.25,36.05000000000001,1471,47.0,214,No Failure
2023-06-02 16:00:00,L47340,L,26.25,36.05000000000001,1282,60.7,216,Overstrain Failure
2023-06-02 16:15:00,L47341,L,26.15000000000004,35.950000000000045,1412,52.3,218,Overstrain Failure
2023-06-02 16:30:00,L47342,L,26.15000000000004,35.950000000000045,1586,35.5,0,No Failure
2023-06-02 16:45:00,M15023,M,26.25,36.05000000000001,1468,43.8,2,No Failure
2023-06-02 17:00:00,M15024,M,26.350000000000023,36.150000000000034,1440,43.6,5,No Failure
2023-06-02 17:15:00,L47345,L,26.350000000000023,36.25,1733,26.0,8,No Failure
2023-06-02 17:30:00,H29580,H,26.25,36.05000000000001,1612,32.6,10,No Failure
2023-06-02 17:45:00,H29581,H,26.25,36.150000000000034,1458,42.9,15,No Failure
2023-06-02 18:00:00,L47348,L,26.25,36.150000000000034,1433,62.3,20,Power Failure
2023-06-02 18:15:00,L47349,L,26.25,36.150000000000034,1318,59.1,22,No Failure
2023-06-02 18:30:00,M15030,M,26.25,36.05000000000001,1610,35.0,24,No Failure
2023-06-02 18:45:00,L47351,L,26.05000000000001,35.950000000000045,1462,50.8,27,No Failure
2023-06-02 19:00:00,M15032,M,25.950000000000045,35.85000000000002,1924,20.8,29,No Failure
2023-06-02 19:15:00,M15033,M,26.05000000000001,35.85000000000002,1591,33.7,32,No Failure
2023-06-02 19:30:00,L47354,L,26.05000000000001,35.950000000000045,1306,58.3,35,No Failure
2023-06-02 19:45:00,L47355,L,26.05000000000001,35.950000000000045,1382,43.5,37,No Failure
2023-06-02 20:00:00,L47356,L,26.05000000000001,35.950000000000045,1618,34.7,39,No Failure
2023-06-02 20:15:00,L47357,L,26.05000000000001,36.05000000000001,1988,21.4,41,No Failure
2023-06-02 20:30:00,L47358,L,26.05000000000001,36.05000000000001,1436,50.2,43,No Failure
2023-06-02 20:45:00,L47359,L,26.05000000000001,36.150000000000034,1304,49.8,45,No Failure
2023-06-02 21:00:00,L47360,L,26.05000000000001,36.150000000000034,1475,49.9,47,No Failure
2023-06-02 21:15:00,H29595,H,26.05000000000001,36.150000000000034,1824,24.2,49,No Failure
2023-06-02 21:30:00,M15042,M,25.950000000000045,36.05000000000001,1342,48.1,54,No Failure
2023-06-02 21:45:00,L47363,L,25.950000000000045,36.05000000000001,1485,40.7,57,No Failure
2023-06-02 22:00:00,L47364,L,26.05000000000001,36.05000000000001,1667,30.6,59,No Failure
2023-06-02 22:15:00,L47365,L,26.05000000000001,36.05000000000001,1446,38.2,61,No Failure
2023-06-02 22:30:00,L47366,L,25.950000000000045,36.150000000000034,1301,56.0,63,No Failure
2023-06-02 22:45:00,L47367,L,26.05000000000001,36.25,1379,43.1,65,No Failure
2023-06-02 23:00:00,L47368,L,26.15000000000004,36.35000000000002,1606,33.6,67,No Failure
2023-06-02 23:15:00,M15049,M,26.15000000000004,36.25,1539,43.4,69,No Failure
2023-06-02 23:30:00,L47370,L,26.05000000000001,36.25,1477,49.9,72,No Failure
2023-06-02 23:45:00,L47371,L,26.05000000000001,36.25,1666,34.6,74,No Failure
2023-06-03 00:00:00,H29606,H,26.05000000000001,36.25,1398,51.8,76,No Failure
2023-06-03 00:15:00,H29607,H,26.05000000000001,36.25,1678,34.6,81,No Failure
2023-06-03 00:30:00,M15054,M,26.05000000000001,36.35000000000002,2678,10.7,86,Power Failure
2023-06-03 00:45:00,L47375,L,26.15000000000004,36.35000000000002,1453,42.9,89,No Failure
2023-06-03 01:00:00,H29610,H,26.15000000000004,36.450000000000045,1432,49.5,91,No Failure
2023-06-03 01:15:00,M15057,M,26.25,36.450000000000045,1527,40.9,96,No Failure
2023-06-03 01:30:00,L47378,L,26.25,36.55000000000001,1588,35.0,99,No Failure
2023-06-03 01:45:00,L47379,L,26.25,36.450000000000045,1433,47.1,101,No Failure
2023-06-03 02:00:00,L47380,L,26.25,36.450000000000045,1609,35.0,103,No Failure
2023-06-03 02:15:00,L47381,L,26.15000000000004,36.35000000000002,1575,41.2,105,No Failure
2023-06-03 02:30:00,M15062,M,26.25,36.35000000000002,1636,35.7,107,No Failure
2023-06-03 02:45:00,L47383,L,26.25,36.35000000000002,1490,37.9,110,No Failure
2023-06-03 03:00:00,L47384,L,26.25,36.35000000000002,1741,32.8,112,No Failure
2023-06-03 03:15:00,M15065,M,26.350000000000023,36.450000000000045,1344,53.0,114,No Failure
2023-06-03 03:30:00,L47386,L,26.350000000000023,36.55000000000001,1609,35.3,117,No Failure
2023-06-03 03:45:00,M15067,M,26.25,36.55000000000001,1421,60.7,119,Power Failure
2023-06-03 04:00:00,L47388,L,26.25,36.450000000000045,1591,36.7,122,No Failure
2023-06-03 04:15:00,L47389,L,26.25,36.450000000000045,1477,44.0,124,No Failure
2023-06-03 04:30:00,L47390,L,26.25,36.55000000000001,1523,36.1,126,No Failure
2023-06-03 04:45:00,L47391,L,26.350000000000023,36.55000000000001,1575,33.9,128,No Failure
2023-06-03 05:00:00,H29626,H,26.25,36.55000000000001,1344,52.9,130,No Failure
2023-06-03 05:15:00,L47393,L,26.25,36.55000000000001,1386,44.9,135,No Failure
2023-06-03 05:30:00,M15074,M,26.15000000000004,36.450000000000045,1589,37.1,137,No Failure
2023-06-03 05:45:00,L47395,L,26.15000000000004,36.450000000000045,1548,40.3,140,No Failure
2023-06-03 06:00:00,L47396,L,26.15000000000004,36.450000000000045,1499,38.3,142,No Failure
2023-06-03 06:15:00,L47397,L,26.15000000000004,36.35000000000002,1664,31.6,144,No Failure
2023-06-03 06:30:00,L47398,L,26.15000000000004,36.450000000000045,1447,38.1,146,No Failure
2023-06-03 06:45:00,M15079,M,26.15000000000004,36.35000000000002,1434,46.2,148,No Failure
2023-06-03 07:00:00,L47400,L,26.15000000000004,36.35000000000002,1416,52.7,151,No Failure
2023-06-03 07:15:00,H29635,H,26.25,36.35000000000002,1827,24.3,153,No Failure
2023-06-03 07:30:00,L47402,L,26.25,36.450000000000045,1304,45.0,158,No Failure
2023-06-03 07:45:00,L47403,L,26.25,36.450000000000045,1569,34.4,160,No Failure
2023-06-03 08:00:00,L47404,L,26.15000000000004,36.450000000000045,1584,29.3,162,No Failure
2023-06-03 08:15:00,L47405,L,26.15000000000004,36.35000000000002,1362,53.8,164,No Failure
2023-06-03 08:30:00,L47406,L,26.15000000000004,36.25,1329,49.2,166,No Failure
2023-06-03 08:45:00,L47407,L,26.15000000000004,36.35000000000002,1539,36.1,168,No Failure
2023-06-03 09:00:00,M15088,M,26.15000000000004,36.35000000000002,1629,37.1,170,No Failure
2023-06-03 09:15:00,L47409,L,26.15000000000004,36.35000000000002,1538,32.2,173,No Failure
2023-06-03 09:30:00,L47410,L,26.15000000000004,36.450000000000045,1570,34.8,175,No Failure
2023-06-03 09:45:00,L47411,L,26.15000000000004,36.25,1408,43.1,177,No Failure
2023-06-03 10:00:00,L47412,L,26.05000000000001,36.25,1424,47.6,179,No Failure
2023-06-03 10:15:00,L47413,L,26.05000000000001,36.25,1512,34.9,181,No Failure
2023-06-03 10:30:00,L47414,L,26.05000000000001,36.25,1478,42.9,183,No Failure
2023-06-03 10:45:00,M15095,M,25.950000000000045,36.150000000000034,1680,33.7,185,No Failure
2023-06-03 11:00:00,L47416,L,25.950000000000045,36.150000000000034,1495,38.7,188,No Failure
2023-06-03 11:15:00,M15097,M,25.850000000000023,35.950000000000045,1552,36.6,190,No Failure
2023-06-03 11:30:00,L47418,L,25.75,35.950000000000045,1393,50.3,193,No Failure
2023-06-03 11:45:00,L47419,L,25.850000000000023,36.05000000000001,1611,30.6,195,No Failure
2023-06-03 12:00:00,M15100,M,25.850000000000023,35.950000000000045,1339,51.6,197,No Failure
2023-06-03 12:15:00,L47421,L,25.850000000000023,35.950000000000045,1777,24.3,200,No Failure
2023-06-03 12:30:00,L47422,L,25.850000000000023,36.05000000000001,1348,58.8,202,Overstrain Failure
2023-06-03 12:45:00,L47423,L,25.850000000000023,36.05000000000001,1442,44.1,204,No Failure
2023-06-03 13:00:00,M15104,M,25.850000000000023,36.05000000000001,1395,49.1,206,No Failure
2023-06-03 13:15:00,M15105,M,25.75,35.950000000000045,1627,31.4,209,No Failure
2023-06-03 13:30:00,L47426,L,25.75,35.950000000000045,1585,33.5,212,No Failure
2023-06-03 13:45:00,L47427,L,25.850000000000023,36.05000000000001,1469,45.5,214,No Failure
2023-06-03 14:00:00,L47428,L,25.850000000000023,36.150000000000034,1362,56.8,216,Overstrain Failure
2023-06-03 14:15:00,L47429,L,25.850000000000023,36.150000000000034,1405,56.2,218,Overstrain Failure
2023-06-03 14:30:00,L47430,L,25.850000000000023,36.150000000000034,1662,32.7,0,No Failure
2023-06-03 14:45:00,M15111,M,25.850000000000023,36.05000000000001,1466,42.6,2,No Failure
2023-06-03 15:00:00,L47432,L,25.850000000000023,36.05000000000001,1620,35.8,5,No Failure
2023-06-03 15:15:00,L47433,L,25.850000000000023,36.05000000000001,1357,48.2,7,No Failure
2023-06-03 15:30:00,L47434,L,25.850000000000023,36.05000000000001,1514,37.9,9,No Failure
2023-06-03 15:45:00,L47435,L,25.850000000000023,36.05000000000001,1489,40.4,11,No Failure
2023-06-03 16:00:00,L47436,L,25.950000000000045,36.150000000000034,1331,63.0,13,No Failure
2023-06-03 16:15:00,L47437,L,25.850000000000023,35.85000000000002,1615,29.5,15,No Failure
2023-06-03 16:30:00,L47438,L,25.950000000000045,36.05000000000001,1482,37.9,17,No Failure
2023-06-03 16:45:00,M15119,M,25.950000000000045,36.05000000000001,1420,63.9,19,Power Failure
2023-06-03 17:00:00,M15120,M,26.05000000000001,36.150000000000034,1522,49.1,22,No Failure
2023-06-03 17:15:00,L47441,L,25.950000000000045,36.05000000000001,1654,32.1,25,No Failure
2023-06-03 17:30:00,M15122,M,25.950000000000045,36.05000000000001,1736,26.8,27,No Failure
2023-06-03 17:45:00,M15123,M,25.850000000000023,35.950000000000045,1587,32.3,30,No Failure
2023-06-03 18:00:00,L47444,L,25.950000000000045,36.05000000000001,1390,47.5,33,No Failure
2023-06-03 18:15:00,L47445,L,25.850000000000023,35.950000000000045,1454,37.1,35,No Failure
2023-06-03 18:30:00,H29680,H,25.850000000000023,35.950000000000045,1440,43.7,37,No Failure
2023-06-03 18:45:00,L47447,L,25.75,35.85000000000002,1954,21.1,42,No Failure
2023-06-03 19:00:00,H29682,H,25.75,35.85000000000002,1800,24.8,44,No Failure
2023-06-03 19:15:00,L47449,L,25.850000000000023,35.85000000000002,1524,37.0,49,No Failure
2023-06-03 19:30:00,H29684,H,25.850000000000023,35.85000000000002,1520,39.6,51,No Failure
2023-06-03 19:45:00,M15131,M,25.950000000000045,35.950000000000045,1452,40.8,56,No Failure
2023-06-03 20:00:00,L47452,L,25.950000000000045,35.950000000000045,1484,40.4,59,No Failure
2023-06-03 20:15:00,L47453,L,25.950000000000045,35.85000000000002,1426,46.0,61,No Failure
2023-06-03 20:30:00,L47454,L,25.950000000000045,35.85000000000002,1652,28.5,63,No Failure
2023-06-03 20:45:00,L47455,L,25.850000000000023,35.85000000000002,1401,54.7,65,No Failure
2023-06-03 21:00:00,M15136,M,25.850000000000023,35.75,1750,26.6,67,No Failure
2023-06-03 21:15:00,H29691,H,25.850000000000023,35.85000000000002,1479,50.7,70,No Failure
2023-06-03 21:30:00,M15138,M,25.850000000000023,35.85000000000002,1620,29.4,75,No Failure
2023-06-03 21:45:00,L47459,L,25.850000000000023,35.950000000000045,1819,23.4,78,No Failure
2023-06-03 22:00:00,M15140,M,25.950000000000045,35.950000000000045,1456,43.7,80,No Failure
2023-06-03 22:15:00,L47461,L,25.950000000000045,35.85000000000002,1626,36.5,83,No Failure
2023-06-03 22:30:00,M15142,M,25.950000000000045,35.950000000000045,1390,49.8,85,No Failure
2023-06-03 22:45:00,L47463,L,26.05000000000001,36.05000000000001,1469,43.0,88,No Failure
2023-06-03 23:00:00,L47464,L,26.05000000000001,36.150000000000034,2051,19.2,90,No Failure
2023-06-03 23:15:00,L47465,L,26.05000000000001,36.150000000000034,1568,36.0,92,No Failure
2023-06-03 23:30:00,L47466,L,26.05000000000001,36.150000000000034,1589,33.2,94,No Failure
2023-06-03 23:45:00,L47467,L,26.05000000000001,36.150000000000034,1805,31.6,96,No Failure
2023-06-04 00:00:00,H29702,H,26.05000000000001,36.25,1385,42.2,98,No Failure
2023-06-04 00:15:00,L47469,L,25.950000000000045,36.25,1436,46.7,103,No Failure
2023-06-04 00:30:00,L47470,L,25.950000000000045,36.25,1438,45.6,105,No Failure
2023-06-04 00:45:00,L47471,L,25.850000000000023,36.150000000000034,1473,42.6,107,No Failure
2023-06-04 01:00:00,L47472,L,25.950000000000045,36.25,1335,40.2,109,No Failure
